------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T2.4
EnvLogger Viewer version, 1.18
downloading device type, iphone
device, iPhone
downloading mode, manual
------------------------------,--------------------
serial number, 0481 D200 D143 0F
custom name, Tub13-shad
temperature, degrees Celsius
time zone, UTC+0000
sampling resolution, 0.5
samples, 47
time diff [logger-smartphone](sec), 0
lat, -35.278865
long, 149.117546
accuracy (m), 4.6
------------------------------,--------------------
time,temp
2024-03-28 03:00:04,32.5
2024-03-28 04:00:04,33.0
2024-03-28 05:00:04,38.5
2024-03-28 06:00:04,34.5
2024-03-28 07:00:04,29.0
2024-03-28 08:00:04,22.0
2024-03-28 09:00:04,19.5
2024-03-28 10:00:04,19.5
2024-03-28 11:00:04,19.0
2024-03-28 12:00:04,19.0
2024-03-28 13:00:04,18.5
2024-03-28 14:00:04,18.0
2024-03-28 15:00:04,18.0
2024-03-28 16:00:04,17.5
2024-03-28 17:00:04,17.5
2024-03-28 18:00:04,17.5
2024-03-28 19:00:04,16.5
2024-03-28 20:00:04,14.0
2024-03-28 21:00:04,14.0
2024-03-28 22:00:04,17.0
2024-03-28 23:00:04,20.5
2024-03-29 00:00:04,42.5
2024-03-29 01:00:04,51.5
2024-03-29 02:00:04,34.5
2024-03-29 03:00:04,32.5
2024-03-29 04:00:04,31.5
2024-03-29 05:00:04,36.5
2024-03-29 06:00:04,36.5
2024-03-29 07:00:04,30.5
2024-03-29 08:00:04,23.5
2024-03-29 09:00:04,20.0
2024-03-29 10:00:04,18.5
2024-03-29 11:00:04,18.5
2024-03-29 12:00:04,18.0
2024-03-29 13:00:04,16.0
2024-03-29 14:00:04,15.0
2024-03-29 15:00:04,14.5
2024-03-29 16:00:04,14.0
2024-03-29 17:00:04,13.5
2024-03-29 18:00:04,13.5
2024-03-29 19:00:04,13.0
2024-03-29 20:00:04,12.0
2024-03-29 21:00:04,12.5
2024-03-29 22:00:04,15.0
2024-03-29 23:00:04,18.5
2024-03-30 00:00:04,42.5
2024-03-30 01:00:04,52.0
