------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T2.4
EnvLogger Viewer version, 1.18
downloading device type, iphone
device, iPhone
downloading mode, manual
------------------------------,--------------------
serial number, 04BC 0000 1C02 10
custom name, Tub13-sun
temperature, degrees Celsius
time zone, UTC+0000
sampling resolution, 0.5
samples, 47
time diff [logger-smartphone](sec), 3
lat, -35.278829
long, 149.117545
accuracy (m), 4.8
------------------------------,--------------------
time,temp
2024-03-28 02:59:54,54.0
2024-03-28 03:59:54,52.0
2024-03-28 04:59:54,44.0
2024-03-28 05:59:54,30.0
2024-03-28 06:59:54,28.0
2024-03-28 07:59:54,21.0
2024-03-28 08:59:54,19.0
2024-03-28 09:59:54,19.0
2024-03-28 10:59:54,19.0
2024-03-28 11:59:54,18.5
2024-03-28 12:59:54,18.0
2024-03-28 13:59:54,18.0
2024-03-28 14:59:54,17.5
2024-03-28 15:59:54,17.5
2024-03-28 16:59:54,17.5
2024-03-28 17:59:54,17.5
2024-03-28 18:59:54,16.0
2024-03-28 19:59:54,13.5
2024-03-28 20:59:54,13.5
2024-03-28 21:59:54,16.0
2024-03-28 22:59:54,19.0
2024-03-28 23:59:54,21.0
2024-03-29 00:59:54,38.0
2024-03-29 01:59:54,47.5
2024-03-29 02:59:54,48.5
2024-03-29 03:59:54,44.0
2024-03-29 04:59:54,40.5
2024-03-29 05:59:54,31.5
2024-03-29 06:59:54,28.5
2024-03-29 07:59:54,21.5
2024-03-29 08:59:54,19.0
2024-03-29 09:59:54,17.5
2024-03-29 10:59:54,17.5
2024-03-29 11:59:54,16.5
2024-03-29 12:59:54,15.0
2024-03-29 13:59:54,14.5
2024-03-29 14:59:54,13.5
2024-03-29 15:59:54,13.5
2024-03-29 16:59:54,13.0
2024-03-29 17:59:54,12.5
2024-03-29 18:59:54,12.0
2024-03-29 19:59:54,11.5
2024-03-29 20:59:54,12.0
2024-03-29 21:59:54,14.0
2024-03-29 22:59:54,16.5
2024-03-29 23:59:54,20.0
2024-03-30 00:59:54,37.0
